,Date,Country/Region,Confirmed
0,2020-01-22,China,548
1,2020-01-23,China,643
2,2020-01-24,China,920
3,2020-01-25,China,1406
4,2020-01-26,China,2075
5,2020-01-27,China,2877
6,2020-01-28,China,5509
7,2020-01-29,China,6087
8,2020-01-30,China,8141
9,2020-01-31,China,9802
10,2020-02-01,China,11891
11,2020-02-02,China,16630
12,2020-02-03,China,19716
13,2020-02-04,China,23707
14,2020-02-05,China,27440
15,2020-02-06,China,30587
16,2020-02-07,China,34110
17,2020-02-08,China,36814
18,2020-02-09,China,39829
19,2020-02-10,China,42354
20,2020-02-11,China,44386
21,2020-02-12,China,46267
22,2020-02-13,China,59895
23,2020-02-14,China,66358
24,2020-02-15,China,68413
25,2020-02-16,China,70513
26,2020-02-17,China,72434
27,2020-02-18,China,74211
28,2020-02-19,China,74619
29,2020-02-20,China,75077
30,2020-02-21,China,75550
31,2020-02-22,China,77001
32,2020-02-23,China,77022
33,2020-02-24,China,77241
34,2020-02-25,China,77754
35,2020-02-26,China,78166
36,2020-02-27,China,78600
37,2020-02-28,China,78928
38,2020-02-29,China,79356
39,2020-03-01,China,79932
40,2020-03-02,China,80136
41,2020-03-03,China,80261
42,2020-03-04,China,80386
43,2020-03-05,China,80537
44,2020-03-06,China,80690
45,2020-03-07,China,80770
46,2020-03-08,China,80823
47,2020-03-09,China,80860
48,2020-03-10,China,80887
49,2020-03-11,China,80921
50,2020-03-12,China,80932
51,2020-03-13,China,80945
52,2020-03-14,China,80977
53,2020-03-15,China,81003
54,2020-03-16,China,81033
55,2020-03-17,China,81058
56,2020-03-18,China,81102
57,2020-03-19,China,81156
58,2020-03-20,China,81250
59,2020-03-21,China,81305
60,2020-03-22,China,81435
61,2020-03-23,China,81498
62,2020-03-24,China,81591
63,2020-03-25,China,81661
64,2020-03-26,China,81782
65,2020-03-27,China,81897
66,2020-03-28,China,81999
67,2020-03-29,China,82122
68,2020-03-30,China,82198
69,2020-03-31,China,82279
70,2020-04-01,China,82361
71,2020-04-02,China,82432
72,2020-04-03,China,82511
73,2020-04-04,China,82543
74,2020-04-05,China,82602
75,2020-04-06,China,82665
76,2020-04-07,China,82718
77,2020-04-08,China,82809
78,2020-04-09,China,82883
79,2020-04-10,China,82941
80,2020-04-11,China,83014
81,2020-04-12,China,83134
82,2020-04-13,China,83213
83,2020-04-14,China,83306
84,2020-04-15,China,83356
85,2020-04-16,China,83403
86,2020-04-17,China,83760
87,2020-04-18,China,83787
88,2020-04-19,China,83805
89,2020-04-20,China,83817
90,2020-04-21,China,83853
91,2020-04-22,China,83868
92,2020-04-23,China,83884
93,2020-04-24,China,83899
94,2020-04-25,China,83909
95,2020-04-26,China,83912
96,2020-04-27,China,83918
97,2020-04-28,China,83940
98,2020-04-29,China,83944
99,2020-04-30,China,83956
100,2020-05-01,China,83959
101,2020-05-02,China,83959
102,2020-05-03,China,83964
103,2020-05-04,China,83966
104,2020-05-05,China,83968
105,2020-05-06,China,83970
106,2020-05-07,China,83975
107,2020-05-08,China,83976
108,2020-05-09,China,83990
109,2020-05-10,China,84010
110,2020-05-11,China,84011
111,2020-05-12,China,84018
112,2020-05-13,China,84024
113,2020-05-14,China,84029
114,2020-05-15,China,84038
115,2020-05-16,China,84044
116,2020-05-17,China,84054
117,2020-05-18,China,84063
118,2020-05-19,China,84063
119,2020-05-20,China,84063
120,2020-05-21,China,84063
121,2020-05-22,China,84081
122,2020-05-23,China,84084
123,2020-05-24,China,84095
124,2020-05-25,China,84102
125,2020-05-26,China,84103
126,2020-05-27,China,84106
127,2020-05-28,China,84106
128,2020-05-29,China,84123
129,2020-05-30,China,84128
130,2020-05-31,China,84146
131,2020-06-01,China,84154
132,2020-06-02,China,84161
133,2020-06-03,China,84160
134,2020-06-04,China,84171
135,2020-06-05,China,84177
136,2020-06-06,China,84186
